Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000173281.4	-1.95374245587347	7.16382711245289	-7.65272546401111	2.66985008726699e-07	0.000120877462701013	7.08881035143634
ENSG00000165030.3	-2.06778943062954	5.78082615971601	-7.58480689267125	3.04766427386252e-07	0.000127764396715348	6.94754413383956
ENSG00000141298.18	-1.50295320946979	8.6192588873842	-7.57043048695625	3.13450216174987e-07	0.000127764396715348	6.93289713871411
ENSG00000162551.13	-3.28310037200734	8.45653948784612	-7.56441334567423	3.17160422234568e-07	0.000127764396715348	6.92089237789575
ENSG00000100365.14	-1.73521729664003	8.44289132282699	-7.55750059658964	3.21479038339369e-07	0.000127764396715348	6.90896299683984
ENSG00000171051.8	-2.09895477522217	10.1022850017759	-7.54036919733944	3.32445934179227e-07	0.000127764396715348	6.86992638979365
ENSG00000119669.4	-1.32230700356943	6.23176747889699	-7.52803979243993	3.40577883876117e-07	0.000127764396715348	6.85346725529673
ENSG00000171777.15	-1.78478462709353	7.94365819447953	-7.51085564887307	3.52256722688162e-07	0.000127764396715348	6.82141910785277
ENSG00000161791.13	1.27062495613139	5.82717712075717	7.51014947221365	3.52745435437184e-07	0.000127764396715348	6.81178178973554
ENSG00000157551.18	-2.11294812754888	7.96709682928521	-7.46571870475354	3.84949181335315e-07	0.000128509612710983	6.73570768688163
ENSG00000104324.15	-1.51463142996834	5.93966574183697	-7.43850638701988	4.06161386769576e-07	0.000128509612710983	6.68035709559398
ENSG00000134686.18	-1.97094628265951	8.30652628686401	-7.42850730164021	4.14256462887451e-07	0.000128509612710983	6.66477767902981
ENSG00000182885.16	-2.30874226894501	7.89579447553271	-7.42756559666898	4.1502740173247e-07	0.000128509612710983	6.66305176707459
ENSG00000116741.7	-1.98692382332145	8.69247526528103	-7.42703310375306	4.15463990716872e-07	0.000128509612710983	6.661630990585
ENSG00000005893.15	-1.36770256579582	7.86794239070084	-7.42466366461472	4.17412454032484e-07	0.000128509612710983	6.6576234700551
ENSG00000101474.11	-1.63807419008722	7.95694529024238	-7.42398730512032	4.17970378150242e-07	0.000128509612710983	6.65626729866026
ENSG00000155744.9	-1.57351201341592	7.21153513960457	-7.41463633023986	4.25763487722749e-07	0.000128509612710983	6.63847496663463
ENSG00000143622.10	-1.29858475993298	5.88146121774886	-7.39503315341566	4.42592545398454e-07	0.000130862873423118	6.59964338866772
ENSG00000072110.13	-1.60919063961321	8.52643628805732	-7.33026417464797	5.03256498824258e-07	0.000136738531084549	6.47694176288482
ENSG00000112062.10	-1.67643364851885	7.97029961138351	-7.31830523522101	5.1536685200139e-07	0.000136738531084549	6.45395480024119
ENSG00000181220.16	-1.29064345554911	6.62425272579902	-7.3140513808816	5.19746891829411e-07	0.000136738531084549	6.44570024679869
ENSG00000197208.5	-2.47859817066731	5.08534087340014	-7.30063133880254	5.3381903063582e-07	0.000136738531084549	6.37456965084811
ENSG00000059728.10	-1.95011090998355	9.49990044822571	-7.29957355210861	5.3494483579426e-07	0.000136738531084549	6.41702832168669
ENSG00000198053.11	-1.8124764562467	8.70705079901436	-7.28522709722454	5.50458573913903e-07	0.000136738531084549	6.39040169261018
ENSG00000112303.13	-2.09641151678843	9.73393508037453	-7.27843358882644	5.57966413623621e-07	0.000136738531084549	6.37614025232375
ENSG00000156711.16	-1.14117015896805	6.92723017216374	-7.27299044886942	5.64058257227284e-07	0.000136738531084549	6.36623318216023
ENSG00000156052.10	-1.3436645030805	6.97271755261064	-7.27272600037101	5.64355968059875e-07	0.000136738531084549	6.36591855313131
ENSG00000198692.9	-5.65745554922635	1.8879001704409	-7.26754076893965	5.70226336292108e-07	0.000136738531084549	4.39116709718835
ENSG00000268734.1	-2.32788388919077	4.32845912660888	-7.25662007865637	5.82797422010508e-07	0.000136738531084549	6.18712043220614
ENSG00000142657.20	-1.7699555826176	8.62914410727488	-7.25462004619521	5.85130578607218e-07	0.000136738531084549	6.33147914452301
ENSG00000135365.15	-1.25087737530438	7.40415902156411	-7.25459541861345	5.85159368252487e-07	0.000136738531084549	6.33075766170175
ENSG00000143409.15	-1.30252645271779	6.71661134018076	-7.2380843072919	6.04794357521766e-07	0.000139083502409132	6.29906780653493
ENSG00000140199.11	-1.27733083356924	7.89868354482762	-7.22092950381716	6.25917412986198e-07	0.000141692054364751	6.2659209222123
ENSG00000160991.15	-1.22349041644483	8.03025334588618	-7.20674961511576	6.43952532973163e-07	0.000143532066118695	6.23856060799717
ENSG00000101236.16	-1.93975175240759	8.47169756296558	-7.14424908845921	7.30081307590063e-07	0.000160263908854013	6.11763202009455
ENSG00000169891.17	-2.16587245960647	5.31490317370849	-7.12320048917677	7.61698064433034e-07	0.000162113377497148	6.05447062951345
ENSG00000163694.14	-1.70603194073111	6.74970618435718	-7.10807982639305	7.85281232802694e-07	0.000162113377497148	6.046699986626
ENSG00000012779.10	-1.74417765530111	8.70556324029308	-7.10222731458206	7.94610546003026e-07	0.000162113377497148	6.03607394442223
ENSG00000144118.13	-1.70353914811454	7.47057590011973	-7.09642063743836	8.03979999436054e-07	0.000162113377497148	6.02322325444878
ENSG00000148841.16	-1.29404813442424	7.09984431632268	-7.08649739506172	8.20256870432707e-07	0.000162113377497148	6.00346123809699
ENSG00000204577.11	-1.99553123817292	8.77654748715715	-7.08529543672632	8.22251400392695e-07	0.000162113377497148	6.00309516758356
ENSG00000136026.13	-1.84916429315036	6.72650250613951	-7.08365401792055	8.2498326702215e-07	0.000162113377497148	5.99912813447202
ENSG00000125505.16	-1.72230730436736	9.16096892587835	-7.08183450770856	8.28022496879415e-07	0.000162113377497148	5.99669146058922
ENSG00000069493.14	1.4467408816951	6.52270751845843	7.06729910777362	8.527209208055e-07	0.000164722942675068	5.96799943147806
ENSG00000108582.11	-1.56152982107893	7.24584795861985	-7.05514867862065	8.73950321908966e-07	0.000166602529787067	5.94222087936406
ENSG00000143815.14	-1.18511302313352	7.76684911883317	-7.03751331810681	9.0573891372362e-07	0.000170420069896465	5.90786906208787
ENSG00000188559.14	-1.13446073222365	6.38364968299822	-7.00676309945672	9.64055001863868e-07	0.000178046294583216	5.84805234225678
ENSG00000035862.12	-1.55301999046901	7.69878883720118	-6.99819079139279	9.80993347697329e-07	0.000178046294583216	5.83032641901177
ENSG00000215114.8	-1.27745003678078	6.86230016253837	-6.99711631464404	9.83138015368394e-07	0.000178046294583216	5.82817954957735
ENSG00000132965.9	-1.59488680616377	7.89893974950229	-6.97277410771634	1.03304475545425e-06	0.000183533528667596	5.78090414024489
ENSG00000100330.15	-1.19222651230017	7.82184841733343	-6.97005794133063	1.03877342288397e-06	0.000183533528667596	5.77506416557831
ENSG00000221869.4	-1.90960611603182	7.47688284156557	-6.93566436880544	1.11421666281876e-06	0.000194491216999015	5.70704133334627
ENSG00000163625.15	-2.17479302500112	6.32674920656376	-6.92607057458325	1.13625396329852e-06	0.000194569346197042	5.69192758185762
ENSG00000177663.13	-1.39819460911698	9.17731397901077	-6.92380491335913	1.141523635198e-06	0.000194569346197042	5.68684412099911
ENSG00000157557.11	-1.58482726860435	6.36861196318062	-6.90870499029463	1.17729480527538e-06	0.000198333106265461	5.65586821137902
ENSG00000177156.10	-1.48445397225453	9.17494038827941	-6.89101560475615	1.22067617164978e-06	0.000203277659481172	5.62211268310491
ENSG00000133961.20	-1.50231184294945	8.12664206943219	-6.8762951942167	1.25803284545872e-06	0.000205105232654874	5.58988892216313
ENSG00000105835.11	-2.07513325255503	10.4251548671348	-6.87554633698494	1.25996450209027e-06	0.000205105232654874	5.59280024111511
ENSG00000196923.13	-1.66118809407266	7.14180702955197	-6.86618882651869	1.28436165830472e-06	0.000206753685616875	5.56885823718238
ENSG00000169896.17	-1.73080009311553	8.28580942516388	-6.8527622085214	1.32022251690842e-06	0.000210191031043618	5.54398028263391
ENSG00000197324.8	-1.29912538609418	9.60633525468991	-6.84452428569102	1.34273493450921e-06	0.000210761517585692	5.53123683092188
ENSG00000197249.13	-1.84724433209821	10.4170404850974	-6.84085104672942	1.35290040968176e-06	0.000210761517585692	5.52449949169728
ENSG00000181274.6	-1.83732976139103	8.42709449538483	-6.81618145969993	1.42326181808684e-06	0.000219364012983426	5.47108917094101
ENSG00000185950.8	-1.53582355482801	5.85249581352631	-6.79458596263925	1.48795234150683e-06	0.000226920563407905	5.43203035497275
ENSG00000131724.10	-1.46375726554028	7.29799673344794	-6.76698010498281	1.57508992434334e-06	0.000237447178960957	5.37044586804218
ENSG00000018280.16	-2.34432111208287	9.17779514969488	-6.75426397700474	1.61698261957105e-06	0.000237447178960957	5.35066541514231
ENSG00000128594.7	-1.9828274788991	5.97807335576226	-6.7513880020519	1.62661570556408e-06	0.000237447178960957	5.3465013983742
ENSG00000137575.11	-1.55027444010494	9.28439364314336	-6.74574529552617	1.64568832198909e-06	0.000237447178960957	5.3337273080498
ENSG00000196189.12	-1.69033588641121	7.37869651610443	-6.74170250727481	1.65949483229419e-06	0.000237447178960957	5.31992650508202
ENSG00000136238.17	-1.05305444474351	7.97689829148446	-6.73953443325482	1.66694816407499e-06	0.000237447178960957	5.31610851677358
ENSG00000163464.7	-2.03444918446592	9.52608853307042	-6.73490569932687	1.68297641626704e-06	0.000237447178960957	5.31284534147439
ENSG00000089902.9	-1.22104378313532	6.37839861779957	-6.72742641677567	1.70921214177038e-06	0.000237447178960957	5.29388159579189
ENSG00000197405.7	-2.08644442846174	9.05085427758702	-6.72383898474411	1.7219453855063e-06	0.000237447178960957	5.28907766232852
ENSG00000101916.11	-1.72177769383577	7.46479237418852	-6.72217418457431	1.72788762209225e-06	0.000237447178960957	5.28074703249172
ENSG00000170909.13	-1.59242046756466	6.74843795769497	-6.71956076463726	1.73725848770441e-06	0.000237447178960957	5.27627517720439
ENSG00000135838.13	-1.49031206651945	7.17949647079984	-6.71500038367842	1.75373621839879e-06	0.000237459161982819	5.26599413399405
ENSG00000136111.13	1.35894032197866	5.40334305269793	6.70628704128305	1.78566917115255e-06	0.000239544212515353	5.25716490455576
ENSG00000114626.17	-1.31413716237375	9.3055457940264	-6.68520271611298	1.86544429203256e-06	0.000247950063329979	5.21274878230841
ENSG00000196405.12	1.34524336448208	8.63232574629437	6.67477466896244	1.90624925133806e-06	0.000251070355939871	5.18991176906668
ENSG00000188895.11	-1.37599429767138	8.59126500251183	-6.66513175297754	1.94480087542138e-06	0.000253840316064008	5.16944255991435
ENSG00000106348.17	-1.44258020845126	8.21813184007853	-6.65589782276617	1.98247091338007e-06	0.000255758192529308	5.14891610319262
ENSG00000142166.12	-1.29430072211952	7.23657782390958	-6.65117172129966	2.00204133840992e-06	0.000255758192529308	5.13683200238152
ENSG00000186431.18	-2.19796065647427	5.69933298302344	-6.64867651056395	2.01245402735651e-06	0.000255758192529308	5.14338876891482
ENSG00000155265.10	2.1828558279285	3.68020103054487	6.62935309640075	2.09500584265115e-06	0.00025985177807894	4.80009127342277
ENSG00000118263.14	-1.1719558373956	6.65178821470824	-6.62717645040283	2.10452093063855e-06	0.00025985177807894	5.08952151907018
ENSG00000182022.17	-1.6574445394092	8.21505253923829	-6.62321518694597	2.12195182107131e-06	0.00025985177807894	5.08313107949464
ENSG00000115271.10	-1.86755613737824	8.51165344838275	-6.6203859106372	2.13449261790524e-06	0.00025985177807894	5.07874030664576
ENSG00000141293.15	1.61255217387727	5.43480069703932	6.61832782044106	2.14366309403533e-06	0.00025985177807894	5.08165605716538
ENSG00000125354.22	1.22554819396738	8.08306667783462	6.61640251362274	2.15227866989735e-06	0.00025985177807894	5.06976577292589
ENSG00000113263.12	1.42339719907962	6.82934359136841	6.61081795635906	2.17747149631401e-06	0.000260720719327251	5.05897085158312
