Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000129824.15	-6.0147398280164	3.82620879156562	-7.15171143359194	7.19200540377344e-07	0.00664353091503662	4.68778903297441
ENSG00000067048.16	-6.40349989933415	2.91330893305224	-6.83016807155271	1.38291863265684e-06	0.00664353091503662	2.96509428420531
ENSG00000012817.15	-6.39027468520355	2.94073004661944	-6.71898641802343	1.73932492036448e-06	0.00664353091503662	2.97498780375271
ENSG00000198692.9	-5.18464380829135	1.8879001704409	-6.69334343095878	1.83421615544909e-06	0.00664353091503662	2.13830577364587
ENSG00000099725.14	-5.82613450673962	2.9737584215969	-6.44323343916501	3.09347098063746e-06	0.0089636415134951	3.05145690768546
ENSG00000183878.15	-5.06095744957813	2.43761169165335	-6.3563238226426	3.7167066952427e-06	0.00897460776677937	2.50916239635289
ENSG00000111052.7	-1.67554530736431	5.55874789339857	-6.13428270813369	5.96664335776392e-06	0.0123492469953262	4.01198384237837
ENSG00000114374.12	-5.1961044076779	1.97381731242342	-5.75466949166176	1.35946866534063e-05	0.0225089719703068	1.50883260180691
ENSG00000131002.11	-5.39619666214737	2.40375876648584	-5.74183744520541	1.39826579053535e-05	0.0225089719703068	1.8470628627332
ENSG00000173597.8	-1.34851544542595	6.5332061060701	-5.42012906334102	2.8484545617322e-05	0.0412684096903762	2.62520281143267
ENSG00000131724.10	-1.14069041620668	7.29799673344794	-5.2503230796356	4.16538365412317e-05	0.054861889437215	2.27216655976017
ENSG00000156052.10	-0.94767614526612	6.97271755261064	-5.1158428662267	5.63943707178389e-05	0.0614696426652534	1.988767454272
ENSG00000156273.15	-1.15881187005761	7.54822311290302	-5.10009099473621	5.84380403427199e-05	0.0614696426652534	1.95560742699335
ENSG00000112303.13	-1.46423842037707	9.73393508037453	-5.06716926054806	6.29561634944314e-05	0.0614696426652534	1.88678949772651
ENSG00000165178.9	-1.15930053605692	7.43523730801945	-5.06238328187243	6.36419547196854e-05	0.0614696426652534	1.8757027374635
ENSG00000100504.16	-1.21819985409957	8.57799285800865	-5.01118050823542	7.14721250488517e-05	0.0616849636081536	1.76807026785218
ENSG00000257335.8	-1.69096408442938	7.86946679827194	-5.00561528461118	7.23802030189544e-05	0.0616849636081536	1.75585053809379
ENSG00000007237.18	-1.27446583347487	7.51972578208201	-4.97700281465272	7.72374410133853e-05	0.0621675580778848	1.69460424735891
ENSG00000135842.16	-1.33018932831166	9.05202615664638	-4.93799159005298	8.43985478943543e-05	0.0643561137838635	1.614105674643
ENSG00000116741.7	-1.30805833088745	8.69247526528103	-4.87920059129395	9.64863601893337e-05	0.0683086044271425	1.48853573876675
ENSG00000168461.12	-1.10779948621101	7.69990326615824	-4.84172115362688	0.000105095679939527	0.0683086044271425	1.4059850562365
ENSG00000067646.11	-4.17886939316476	1.09192150664209	-4.82548827297978	0.00010906256495326	0.0683086044271425	-0.051260279690351
ENSG00000177575.12	-1.55983099376477	5.66601869281666	-4.82223906327524	0.000109874646884068	0.0683086044271425	1.37070688453878
ENSG00000153317.14	-0.910773501108119	7.21755141223396	-4.80935284443185	0.00011315616415319	0.0683086044271425	1.33627398155865
ENSG00000181045.14	1.04105760953191	4.29461512119587	4.78370053778542	0.000119987460701469	0.0695351332257154	1.28704219520864
ENSG00000151948.11	-1.23902762987865	7.44989226457065	-4.74650645914689	0.000130642075824924	0.0709159445201076	1.20219269909898
ENSG00000101916.11	-1.21559029634114	7.46479237418852	-4.72931725784427	0.000135885132719685	0.0709159445201076	1.16527496762298
ENSG00000176597.11	-1.7662279692197	3.7083340914916	-4.72557500101498	0.000137054558708104	0.0709159445201076	0.99700633594042
ENSG00000111261.13	-1.47446639336282	5.65728680171371	-4.62717449499064	0.000171746405899067	0.0858021354712303	0.959691425073979
ENSG00000105610.5	2.28132533624298	4.7797950925864	4.57428072962747	0.000193939455407805	0.0867992778347449	0.781637675138575
ENSG00000080573.6	2.79163371630306	1.90830813295675	4.5660932729655	0.000197624950352114	0.0867992778347449	0.553770934473327
ENSG00000100485.11	-0.737191856454667	6.53491578119538	-4.56330561065265	0.000198895865030313	0.0867992778347449	0.808528529857747
ENSG00000181274.6	-1.22827178310353	8.42709449538483	-4.5415822548826	0.00020908673619089	0.0867992778347449	0.764515742377331
ENSG00000136040.8	-1.07708294620854	8.64102291495803	-4.52210529480562	0.000218671447196053	0.0867992778347449	0.723566034242116
ENSG00000241399.6	-1.0810456450354	7.0687865036446	-4.50877368237491	0.000225486543231178	0.0867992778347449	0.690221826416529
ENSG00000155744.9	-0.953768130311899	7.21153513960457	-4.48620779592834	0.000237514311581418	0.0867992778347449	0.641106188507233
ENSG00000115828.16	-1.16260769125663	6.98237355226334	-4.46176346824832	0.000251274953066068	0.0867992778347449	0.59157426145776
ENSG00000068305.17	-1.02133998021908	6.00628290094195	-4.43086328012462	0.000269826617311806	0.0867992778347449	0.527775536876034
ENSG00000135083.15	-2.40282175099006	5.54380209939077	-4.39741736121145	0.000291466273225298	0.0867992778347449	0.476368565697427
ENSG00000103569.9	-1.29289337366766	9.71663422436653	-4.3741279870289	0.000307559290854373	0.0867992778347449	0.412460830843361
ENSG00000104974.11	-1.04226787199201	7.24774104607827	-4.36223313025902	0.000316120855058478	0.0867992778347449	0.373337552487744
ENSG00000133961.20	-0.956577664659918	8.12664206943219	-4.36033321294801	0.00031751040941348	0.0867992778347449	0.372069392112015
ENSG00000133812.15	-0.864181948423393	5.48128936757419	-4.36009525460849	0.000317684879152875	0.0867992778347449	0.392227658859881
ENSG00000109466.13	-1.31703305831255	5.52841240129533	-4.35670255603128	0.000320182908046446	0.0867992778347449	0.387093398680454
ENSG00000173281.4	-1.11146850267643	7.16382711245289	-4.35508830975734	0.000321378402004765	0.0867992778347449	0.358550018405007
ENSG00000215114.8	-0.796082229527701	6.86230016253837	-4.35330287232578	0.000322705911394935	0.0867992778347449	0.35404888993034
ENSG00000089902.9	-0.788989107336669	6.37839861779957	-4.35054955624537	0.000324763883510939	0.0867992778347449	0.352136395018461
ENSG00000135049.15	-0.851414695637827	6.70073066141585	-4.34669156881542	0.000327669783230018	0.0867992778347449	0.34006040419533
ENSG00000140563.14	-1.00949225194855	6.64118746847045	-4.33790355712148	0.000334387115832081	0.0867992778347449	0.324561618867298
ENSG00000104936.17	1.13497698410089	3.74804033904182	4.33407631486832	0.000337355709315639	0.0867992778347449	0.336531569431067
ENSG00000215580.10	-4.06922532589557	0.120167167764476	-4.3256418448444	0.000343991828750819	0.0867992778347449	-1.16503970929897
ENSG00000141401.11	-1.21918322131811	6.13742270429836	-4.32023245245355	0.000348316816612447	0.0867992778347449	0.296514888204173
ENSG00000135636.13	-1.39039128065886	8.69331918747449	-4.31161609196622	0.000355319109129642	0.0867992778347449	0.268444552377691
ENSG00000137462.7	-1.1508197773842	8.20068863012033	-4.31062136252109	0.000356136561754626	0.0867992778347449	0.264988423550371
ENSG00000178695.5	-1.22919324897116	7.43130531671739	-4.30753785303116	0.000358682576925533	0.0867992778347449	0.256340629411875
ENSG00000137177.19	-0.99896667685214	5.98183111481195	-4.30424731430839	0.000361419724046835	0.0867992778347449	0.265028200773379
ENSG00000211751.9	1.05586314567625	7.18726542875347	4.30239837978972	0.000362966916868577	0.0867992778347449	0.244608523241333
ENSG00000197208.5	-1.46981924775315	5.08534087340014	-4.2980964998669	0.000366592561679817	0.0867992778347449	0.26896353327347
ENSG00000106780.8	-0.922820679346161	8.58675512829373	-4.29634868752461	0.000368076007853947	0.0867992778347449	0.236644646492336
ENSG00000161791.13	0.669392699084983	5.82717712075717	4.29427722178018	0.000369841969701631	0.0867992778347449	0.226105307529396
ENSG00000115271.10	-1.21344848674803	8.51165344838275	-4.29055421163011	0.00037303734157061	0.0867992778347449	0.224244064284779
ENSG00000141556.20	0.724732079841577	5.76767943997629	4.28967592787254	0.000373795188655868	0.0867992778347449	0.219117559193828
ENSG00000151726.13	-1.36498576234944	9.88260030893954	-4.27894815421221	0.00038317774549476	0.0867992778347449	0.20908570492373
ENSG00000169967.16	-0.833976429128962	7.03233957439001	-4.27866183741067	0.000383431376409696	0.0867992778347449	0.191701993746159
ENSG00000140688.16	0.708779913181791	5.45718880129078	4.25423356916309	0.000405703927212157	0.0904282845761497	0.145935572235298
ENSG00000165672.6	-0.711169288078242	6.07035847105275	-4.24625287737922	0.000413258471886016	0.0907164960709789	0.125587548205598
ENSG00000114573.9	-0.868932791778125	6.88442976216638	-4.23857683506161	0.000420657909945544	0.0907898430940517	0.105896677328306
ENSG00000113163.16	-0.807275595563999	6.22553050511421	-4.2286545571939	0.000430420137181789	0.0907898430940517	0.0884921444326485
ENSG00000163625.15	-1.32708824301406	6.32674920656376	-4.22393429776949	0.000435143785157623	0.0907898430940517	0.0895118602156906
ENSG00000113161.15	-0.881115619835322	5.58616936234546	-4.22045504490783	0.000438658822237964	0.0907898430940517	0.0853379153255469
ENSG00000182253.14	2.73357957861338	1.28013346557542	4.20754501940602	0.0004519525578876	0.0909440596514859	-0.733718048497626
ENSG00000255197.5	-1.18541627773992	5.45529148242546	-4.1921105225377	0.000468377527554947	0.0909440596514859	0.0351692417719027
ENSG00000249437.7	-1.72139150187143	5.18455879093507	-4.188657249938	0.000472133642074357	0.0909440596514859	0.0395740718854425
ENSG00000104324.15	-0.850984536393009	5.93966574183697	-4.18239052496479	0.000479027285875817	0.0909440596514859	0.00197964849525878
